,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
876,house,independent,sector 24,5.25,38889.0,1350.0,Plot area 163(136.29 sq.m.)Built Up area: 160 sq.yards (133.78 sq.m.)Carpet area: 150 sq.yards (125.42 sq.m.),4,4,3+,2.0,East,Relatively New,,160.0,150.0,0,1,0,1,0,1,72
901,house,independent,sector 28,12.0,42194.0,2844.0,Plot area 316(264.22 sq.m.),4,5,3+,4.0,East,Relatively New,,2844.0,,0,1,1,1,0,1,60
919,house,dlf city plots phase 2,sector 25,6.3,35000.0,1800.0,Plot area 200(167.23 sq.m.),4,4,3+,2.0,East,Old Property,,1800.0,,0,1,1,0,0,0,89
928,house,independent,sector 45,16.0,35000.0,4571.0,Plot area 500(418.06 sq.m.),6,7,3+,3.0,East,Relatively New,,4500.0,,1,1,1,1,0,1,105
950,house,unitech espace,sector 50,7.5,34722.0,2160.0,Plot area 240(200.67 sq.m.)Built Up area: 241 sq.yards (201.51 sq.m.)Carpet area: 240 sq.yards (200.67 sq.m.),3,3,2,2.0,West,Moderately Old,,241.0,240.0,0,1,0,0,0,1,66
974,house,independent,sector 28,10.5,32407.0,3240.0,Plot area 360(301.01 sq.m.),5,6,3+,3.0,,New Property,,3240.0,,1,1,0,1,0,1,153
975,house,uppal southend,sector 49,6.75,290948.0,232.0,Plot area 232(21.55 sq.m.),12,12,3+,,West,Moderately Old,,232.0,,1,1,0,1,1,1,49
990,house,nul,sector 25,6.25,34722.0,1800.0,Plot area 200(167.23 sq.m.),5,5,3,2.0,East,Moderately Old,,1800.0,,0,1,0,1,0,1,112
1012,house,dlf city plots phase 2,sector 25,15.5,34307.0,4518.0,Plot area 502(419.74 sq.m.),5,6,3+,3.0,East,Moderately Old,,4518.0,,1,1,1,1,0,0,144
1025,house,independent,sector 43,14.0,39886.0,3510.0,Plot area 390(326.09 sq.m.),9,9,3+,4.0,North,Moderately Old,,3510.0,,0,1,0,0,0,0,7
1027,house,dlf the grove,sector 54,5.7,211111.0,270.0,Built Up area: 270 (25.08 sq.m.),4,4,0,1.0,,Undefined,,270.0,,0,0,0,0,0,0,46
1033,house,independent,sector 24,3.5,32407.0,1080.0,Plot area 120(100.34 sq.m.),5,4,3,3.0,North-West,Old Property,,1080.0,,0,0,0,0,0,0,15
1048,house,independent,sector 31,9.25,39530.0,2340.0,Plot area 265(221.57 sq.m.)Built Up area: 262 sq.yards (219.07 sq.m.)Carpet area: 260 sq.yards (217.39 sq.m.),12,12,3+,4.0,North-East,New Property,,262.0,260.0,0,1,0,1,1,2,49
1050,house,independent,sector 26,17.0,37627.0,4518.0,Plot area 502(419.74 sq.m.),5,5,3+,2.0,North-East,Relatively New,,4518.0,,1,1,1,1,0,1,124
1062,house,independent,sector 23,2.8,161849.0,173.0,Plot area 173(16.07 sq.m.)Built Up area: 160 sq.ft. (14.86 sq.m.)Carpet area: 150 sq.ft. (13.94 sq.m.),5,5,3+,2.0,North-East,Old Property,,160.0,150.0,0,0,0,1,0,1,74
1078,house,independent,sector 26,4.45,35185.0,1265.0,Plot area 150(125.42 sq.m.),4,4,3,3.0,West,Old Property,,150.0,,0,0,0,0,0,0,25
1087,house,independent,sector 47,4.3,29311.0,1467.0,Plot area 163(136.29 sq.m.),6,4,2,2.0,,Moderately Old,,1467.0,,0,0,0,0,1,0,0
1090,house,independent,sector 105,9.9,49500.0,2000.0,Built Up area: 2000 (185.81 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),2,2,2,3.0,North,Undefined,,2000.0,1800.0,0,0,0,0,0,0,0
1093,house,nirvana cedar crest,sector 50,7.1,32870.0,2160.0,Plot area 240(200.67 sq.m.)Built Up area: 239 sq.yards (199.83 sq.m.)Carpet area: 238 sq.yards (199 sq.m.),5,4,3,2.0,East,Moderately Old,,239.0,238.0,1,0,1,1,0,1,110
1103,house,ansal sushant lok plots,sector 43,5.8,29974.0,1935.0,Plot area 215(179.77 sq.m.),6,6,3,2.0,South-West,Relatively New,,1935.0,,0,1,0,0,1,1,49
1120,flat,dlf the crest,sector 54,11.0,35222.0,3123.0,Super Built up area 3123(290.14 sq.m.),4,6,3,7.0,,Relatively New,3123.0,,,0,1,0,0,0,2,125
1127,house,uppal southend,sector 49,6.75,32328.0,2088.0,Built Up area: 232 (193.98 sq.m.),4,4,3,3.0,West,Relatively New,,232.0,,0,1,0,0,0,1,26
1138,house,emaar mgf marbella,sector 66,12.0,37037.0,3240.0,Plot area 360(301.01 sq.m.),5,5,3+,3.0,East,New Property,,3240.0,,0,1,1,1,0,1,106
1143,house,independent,sector 43,5.25,27132.0,1935.0,Plot area 215(179.77 sq.m.),4,4,2,2.0,,Old Property,,1935.0,,1,1,0,0,0,1,80
1144,house,independent,sector 43,2.5,25960.0,963.0,Plot area 107(89.47 sq.m.),7,7,3,4.0,West,Relatively New,,963.0,,0,0,0,0,1,2,20
1160,house,independent,sector 46,2.2,24202.0,909.0,Plot area 101(84.45 sq.m.),3,3,2,3.0,North-West,Old Property,,909.0,,0,0,1,0,0,1,56
1171,house,independent,sector 26,4.5,33333.0,1350.0,Plot area 150(125.42 sq.m.),5,5,3+,2.0,,Old Property,,1350.0,,0,0,0,0,0,0,7
1181,house,international city by sobha phase 1,sector 109,5.85,26423.0,2214.0,Plot area 246(205.69 sq.m.),4,5,3+,2.0,East,Relatively New,,2214.0,,0,1,0,0,0,1,85
1187,house,independent,sector 47,5.15,26615.0,1935.0,Plot area 215(179.77 sq.m.),9,9,3+,3.0,East,Relatively New,,1935.0,,0,0,1,0,0,1,75
1191,house,independent,sector 56,7.25,29336.0,2471.0,Plot area 303(253.35 sq.m.),8,8,3+,0.0,North-East,Moderately Old,,303.0,,0,0,0,0,0,1,24
1194,house,unitech espace,sector 50,11.5,35494.0,3240.0,Built Up area: 3240 (301.01 sq.m.),5,6,0,1.0,North-West,Undefined,,3240.0,,0,0,0,0,0,0,0
1196,house,independent,sector 46,3.6,24845.0,1449.0,Plot area 161(134.62 sq.m.),5,5,3+,3.0,South-East,Moderately Old,,1449.0,,0,1,0,0,0,1,75
1200,house,independent,sector 26,14.75,51864.0,2844.0,Plot area 316(264.22 sq.m.),16,20,3+,4.0,East,New Property,,2844.0,,1,1,1,1,0,1,153
1252,house,dlf city plots,sector 26,17.0,37627.0,4518.0,Plot area 502(419.74 sq.m.),5,6,3,2.0,North-West,Old Property,,4518.0,,0,1,1,1,0,1,87
1259,house,vipul tatvam villa,sector 48,7.25,201388.0,360.0,Plot area 360(33.45 sq.m.),4,4,3,2.0,,Relatively New,,360.0,,1,1,1,1,0,1,103
1261,house,independent,sector 25,16.0,59259.0,2700.0,Plot area 350(292.64 sq.m.)Built Up area: 325 sq.yards (271.74 sq.m.)Carpet area: 300 sq.yards (250.84 sq.m.),16,16,3+,4.0,West,New Property,,325.0,300.0,1,1,1,1,0,2,72
1275,house,uppal southend,sector 49,6.75,32328.0,2088.0,Plot area 232(193.98 sq.m.),12,12,3+,3.0,North,Moderately Old,,2088.0,,1,1,0,1,1,1,49
1276,house,independent,sector 28,8.4,34568.0,2430.0,Plot area 270(225.75 sq.m.),4,4,3+,2.0,North-East,Relatively New,,2430.0,,0,1,1,1,0,1,139
1277,house,not applicable,sector 4,0.8,54794.0,146.0,Plot area 146(13.56 sq.m.),5,4,3,3.0,,Under Construction,,146.0,,0,0,0,0,0,0,0
1310,house,unitech palms south city 1,sector 41,9.25,28549.0,3240.0,Plot area 3240(301.01 sq.m.)Built Up area: 5000 sq.ft. (464.52 sq.m.)Carpet area: 4500 sq.ft. (418.06 sq.m.),9,9,3+,4.0,North,Moderately Old,,5000.0,4500.0,1,1,1,1,0,1,65
1312,house,uppal southend,sector 49,6.75,31915.0,2115.0,Plot area 235(196.49 sq.m.),12,12,3+,3.0,West,Moderately Old,,2115.0,,0,0,0,0,1,0,49
1315,house,unitech palms south city 1,sector 41,9.35,28858.0,3240.0,Plot area 3240(301.01 sq.m.)Built Up area: 7500 sq.ft. (696.77 sq.m.)Carpet area: 6000 sq.ft. (557.42 sq.m.),10,10,3+,4.0,North-East,Moderately Old,,7500.0,6000.0,1,1,0,0,0,1,70
1332,house,ansal api esencia,sector 67,1.85,74000.0,250.0,Carpet area: 250 (23.23 sq.m.),3,3,3,1.0,,Undefined,,,250.0,0,0,0,0,0,0,49
1345,house,independent,sector 13,9.0,100000.0,900.0,Plot area 900(83.61 sq.m.),10,5,3+,4.0,,Old Property,,900.0,,0,0,0,0,0,0,0
1349,flat,unitech vistas,sector 70,9.0,57507.0,1565.0,Built Up area: 1565 (145.39 sq.m.),3,3,0,7.0,,Undefined,,1565.0,,0,0,0,0,0,0,0
1350,flat,dlf the grove,sector 54,5.7,41245.0,1382.0,Built Up area: 1382 (128.39 sq.m.),3,3,3,1.0,East,Undefined,,1382.0,,0,0,0,0,0,0,46
1381,house,private house,sector 55,7.05,46906.0,1503.0,Plot area 167(139.63 sq.m.),18,18,3+,4.0,North-East,Relatively New,,1503.0,,0,0,0,0,1,2,57
1385,house,unitech uniworld resorts,sector 33,9.5,173992.0,546.0,Plot area 546(50.73 sq.m.),6,6,3+,3.0,North-East,Moderately Old,,546.0,,0,0,0,0,0,1,40
1396,house,luxury dlf city floors,sector 26,8.25,45833.0,1800.0,Plot area 200(167.23 sq.m.),12,12,3+,4.0,North,New Property,,1800.0,,0,1,0,0,0,1,105
1406,flat,dlf park place,sector 54,4.85,30180.0,1607.0,Super Built up area 1983(184.23 sq.m.)Built Up area: 1785 sq.ft. (165.83 sq.m.)Carpet area: 1607 sq.ft. (149.3 sq.m.),3,4,3+,6.0,North,Moderately Old,1983.0,1785.0,1607.0,0,1,0,0,0,2,158
1425,house,project housing board colony,sector 31,8.0,63492.0,1260.0,Built Up area: 140 (117.06 sq.m.),2,1,0,1.0,,Undefined,,140.0,,0,0,0,0,0,0,0
1462,house,independent,sector 57,4.75,28787.0,1650.0,Plot area 1600(148.64 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),3,3,3,2.0,North-West,Moderately Old,,1700.0,1650.0,0,0,1,0,0,1,96
1473,house,ss hibiscus,sector 50,12.5,40850.0,3060.0,Plot area 470(392.98 sq.m.)Built Up area: 410 sq.yards (342.81 sq.m.)Carpet area: 340 sq.yards (284.28 sq.m.),4,4,3+,2.0,West,Relatively New,,410.0,340.0,1,1,0,0,0,2,160
1478,house,independent,sector 25,9.0,33333.0,2700.0,Plot area 300(250.84 sq.m.),5,5,3,3.0,North,Old Property,,2700.0,,1,1,1,1,0,0,56
1493,house,independent,sector 17,3.93,24214.0,1623.0,Plot area 1623(150.78 sq.m.)Built Up area: 1622 sq.ft. (150.69 sq.m.),19,17,3,4.0,North-West,Relatively New,,1622.0,,1,1,1,1,0,0,74
1509,house,independent,sector 55,5.0,44444.0,1125.0,Plot area 125(104.52 sq.m.)Built Up area: 115 sq.yards (96.15 sq.m.)Carpet area: 100 sq.yards (83.61 sq.m.),9,9,3+,5.0,East,New Property,,115.0,100.0,0,0,0,0,1,1,44
1510,flat,tulip monsella,sector 53,7.4,33198.0,2229.0,Carpet area: 2229 (207.08 sq.m.),4,4,3,21.0,,Under Construction,,,2229.0,0,0,0,0,0,0,35
1526,house,dlf city plots,sector 26,19.0,42054.0,4518.0,Plot area 502(419.74 sq.m.),6,6,3,2.0,East,Relatively New,,4518.0,,1,1,0,0,0,1,121
1528,house,vipul tatvam villa,sector 48,8.5,26235.0,3240.0,Plot area 360(301.01 sq.m.),4,4,1,,,Relatively New,,3240.0,,0,0,0,0,0,0,21
1541,house,ansal sushant lok plots,sector 43,3.3,26570.0,1242.0,Plot area 138(115.39 sq.m.),1,1,0,,,Under Construction,,1242.0,,0,0,0,0,0,0,0
1547,house,independent,sector 9,1.1,55000.0,200.0,Plot area 200(18.58 sq.m.),4,3,1,2.0,North-East,Old Property,,200.0,,0,0,0,0,0,0,0
1550,house,unitech espace,sector 50,11.0,40741.0,2700.0,Plot area 360(301.01 sq.m.)Built Up area: 361 sq.yards (301.84 sq.m.)Carpet area: 300 sq.yards (250.84 sq.m.),4,4,3+,2.0,North,Moderately Old,,361.0,300.0,0,1,0,0,0,1,88
1564,house,dlf city plots phase 2,sector 25,10.55,39074.0,2700.0,Plot area 300(250.84 sq.m.),5,6,3+,3.0,East,Moderately Old,,2700.0,,1,1,1,1,0,0,131
1572,house,independent,sector 70a,2.1,35000.0,600.0,Carpet area: 600 (55.74 sq.m.),3,2,1,3.0,,New Property,,,600.0,0,0,0,0,0,0,0
1589,house,independent,sector 7,1.0,79365.0,126.0,Plot area 126(11.71 sq.m.),2,2,0,0.0,,Old Property,,126.0,,1,0,0,0,0,0,7
1597,house,independent,sector 50,11.58,35741.0,3240.0,Plot area 360(301.01 sq.m.),5,5,3,2.0,,Moderately Old,,3240.0,,0,1,0,0,0,0,20
1599,house,vipul tatvam villa,sector 48,6.4,24691.0,2592.0,Plot area 288(240.8 sq.m.)Built Up area: 240 sq.yards (200.67 sq.m.)Carpet area: 200 sq.yards (167.23 sq.m.),3,4,3,2.0,North,Relatively New,,240.0,200.0,1,1,1,0,0,1,148
1608,house,independent,sector 26,5.8,32222.0,1800.0,Plot area 200(167.23 sq.m.),5,5,3+,2.0,North,Old Property,,1800.0,,1,1,1,1,0,0,53
1627,house,independent,sector 105,0.55,98214.0,56.0,Built Up area: 56 (5.2 sq.m.),4,4,0,2.0,,Undefined,,56.0,,0,0,0,0,0,0,0
1628,house,eros rosewood villas,sector 49,2.75,178571.0,154.0,Plot area 154(14.31 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),3,3,1,2.0,North-West,Old Property,,,1650.0,0,0,0,0,1,1,80
1639,house,dlf city plots phase 3,sector 24,5.0,34083.0,1467.0,Plot area 163(136.29 sq.m.),13,13,3+,4.0,North,New Property,,1467.0,,0,0,0,1,0,2,91
1640,house,emaar the palm springs,sector 54,14.0,62222.0,2250.0,Plot area 250(209.03 sq.m.),4,5,3+,2.0,North,Old Property,,2250.0,,1,1,0,0,0,1,160
1644,house,eros rosewood city,sector 49,1.6,31481.0,508.0,Plot area 60(50.17 sq.m.),4,4,3,4.0,East,New Property,,60.0,,0,0,0,0,0,1,27
1645,house,independent,sector 25,6.5,36111.0,1800.0,Plot area 200(167.23 sq.m.),4,3,3,3.0,,Moderately Old,,1800.0,,1,0,0,1,0,0,19
1649,house,u block dlf phase 3 road no 21,sector 24,1.6,29630.0,540.0,Plot area 60(50.17 sq.m.),7,5,3+,4.0,,Old Property,,540.0,,0,0,0,0,0,0,0
1653,flat,ambience creacions,sector 22,4.1,28101.0,1459.0,Super Built up area 2781(258.36 sq.m.)Carpet area: 1459 sq.ft. (135.55 sq.m.),3,3,3+,2.0,North-East,New Property,2781.0,,1459.0,0,0,0,0,0,2,119
1677,house,independent,sector 43,5.75,29716.0,1935.0,Plot area 215(179.77 sq.m.),4,4,2,2.0,North,Old Property,,1935.0,,0,1,1,1,0,0,34
1686,house,suncity township,sector 54,25.0,31111.0,8036.0,Plot area 1000(836.13 sq.m.),4,4,3+,2.0,North,Moderately Old,,1000.0,,1,1,1,1,0,0,0
1687,house,independent,sector 2,19.5,27083.0,7200.0,Plot area 800(668.9 sq.m.),8,9,3+,2.0,North,New Property,,7200.0,,1,1,0,1,0,0,122
1693,house,international city by sobha phase 2,sector 109,9.4,26111.0,3600.0,Plot area 400(334.45 sq.m.),5,6,3+,2.0,North-East,Relatively New,,3600.0,,1,1,1,1,0,1,147
1696,house,ss omnia,sector 86,0.42,84000.0,50.0,Plot area 50(4.65 sq.m.),5,3,2,3.0,,Relatively New,,50.0,,0,0,0,0,0,0,0
1748,house,independent,sector 13,0.62,32291.0,192.0,Built Up area: 192 (17.84 sq.m.),6,6,0,3.0,,Undefined,,192.0,,0,0,0,0,0,0,0
1753,flat,dlf the belaire,sector 54,10.0,24557.0,4072.0,Super Built up area 4072(378.3 sq.m.)Built Up area: 3000 sq.ft. (278.71 sq.m.)Carpet area: 2800 sq.ft. (260.13 sq.m.),4,5,3+,17.0,North,Moderately Old,4072.0,3000.0,2800.0,0,1,0,0,0,2,167
1756,house,independent,sector 47,6.09,33665.0,1809.0,Plot area 201(168.06 sq.m.)Built Up area: 180 sq.yards (150.5 sq.m.)Carpet area: 150 sq.yards (125.42 sq.m.),12,11,3+,4.0,West,Moderately Old,,180.0,150.0,0,0,0,1,0,2,44
1766,flat,dlf park place,sector 54,6.75,24963.0,2704.0,Super Built up area 2704(251.21 sq.m.)Carpet area: 1534 sq.ft. (142.51 sq.m.),4,4,2,8.0,North,Moderately Old,2704.0,,1534.0,0,1,0,0,0,2,135
1770,house,ansal sushant lok plots,sector 43,7.0,25926.0,2700.0,Plot area 300(250.84 sq.m.),5,5,3+,3.0,North-East,Relatively New,,2700.0,,1,1,0,1,0,1,41
1777,house,independent,sector 25,13.5,37313.0,3618.0,Plot area 402(336.12 sq.m.),5,6,3+,4.0,North-East,Old Property,,3618.0,,0,0,0,0,1,1,79
1798,house,independent,sector 12,1.0,74074.0,135.0,Plot area 135(12.54 sq.m.)Built Up area: 3750 sq.ft. (348.39 sq.m.),9,7,3+,3.0,North,Moderately Old,,3750.0,,0,0,1,1,0,0,7
1801,house,independent,sector 46,2.25,24510.0,918.0,Plot area 102(85.28 sq.m.)Built Up area: 90 sq.yards (75.25 sq.m.)Carpet area: 85 sq.yards (71.07 sq.m.),4,3,3,3.0,North-East,Relatively New,,90.0,85.0,1,0,0,0,0,1,35
1810,flat,dlf the grove,sector 54,5.7,41245.0,1382.0,Built Up area: 1382 (128.39 sq.m.),3,3,3,1.0,East,Undefined,,1382.0,,0,0,0,0,0,0,46
1839,house,unitech escape,sector 50,10.8,60000.0,1800.0,Plot area 290(242.48 sq.m.)Built Up area: 250 sq.yards (209.03 sq.m.)Carpet area: 200 sq.yards (167.23 sq.m.),4,4,3,2.0,North,Relatively New,,250.0,200.0,1,1,1,1,0,1,103
1845,house,independent,sector 25,10.5,29022.0,3618.0,Plot area 402(336.12 sq.m.),5,5,3,3.0,East,Moderately Old,,3618.0,,1,1,0,1,0,0,42
1883,house,dlf city plots,sector 26,4.0,40775.0,981.0,Plot area 109(91.14 sq.m.),4,3,2,2.0,,Relatively New,,981.0,,0,0,0,0,0,1,0
1908,flat,central park resort belgravia residences,sector 48,6.25,24300.0,2572.0,Carpet area: 2880 (267.56 sq.m.),3,5,3+,5.0,South-East,Moderately Old,,,2880.0,0,1,0,0,0,1,49
1925,house,independent,sector 4,0.6,105263.0,57.0,Plot area 57(5.3 sq.m.),3,3,1,2.0,,Old Property,,57.0,,0,0,0,0,1,0,0
1938,house,independent house sector 45,sector 40,9.0,38022.0,2367.0,Plot area 2367(219.9 sq.m.)Built Up area: 9000 sq.ft. (836.13 sq.m.)Carpet area: 6000 sq.ft. (557.42 sq.m.),12,12,3,4.0,North-West,New Property,,9000.0,6000.0,0,1,0,0,0,1,71
1944,house,dlf city plots,sector 26,13.5,29880.0,4518.0,Plot area 502(419.74 sq.m.),5,5,3,2.0,East,Old Property,,4518.0,,1,1,1,1,0,1,110
1946,house,independent,sector 43,3.0,53763.0,558.0,Plot area 62(51.84 sq.m.),12,12,3+,5.0,West,New Property,,558.0,,0,0,0,0,1,2,20
1947,house,independent,sector 43,6.5,35400.0,1836.0,Plot area 215(179.77 sq.m.)Built Up area: 215 sq.yards (179.77 sq.m.),5,4,3+,3.0,South-East,Moderately Old,,215.0,,0,1,0,1,0,1,54
1971,house,dlf alameda,sector 73,17.0,35109.0,4842.0,Plot area 4842(449.84 sq.m.)Built Up area: 9000 sq.ft. (836.13 sq.m.),5,8,3,3.0,North-West,Relatively New,,9000.0,,1,1,1,1,0,2,87
1994,house,independent,sector 46,3.55,24500.0,1449.0,Plot area 161(134.62 sq.m.),5,4,3+,3.0,North-West,Moderately Old,,1449.0,,0,1,0,0,0,1,73
1995,flat,housing board colony,sector 51,0.3,41666.0,72.0,Carpet area: 72 (6.69 sq.m.),1,1,0,0.0,,Moderately Old,,,72.0,1,0,0,0,0,0,15
1999,flat,dlf park place,sector 54,4.86,25920.0,1875.0,Super Built up area 1875(174.19 sq.m.),3,4,3+,7.0,West,Relatively New,1875.0,,,0,1,0,0,0,1,49
2003,house,independent,sector 26,18.9,41833.0,4518.0,Plot area 502(419.74 sq.m.),6,8,2,3.0,North-East,Relatively New,,4518.0,,1,1,1,1,0,1,120
2004,house,independent,sector 17,3.5,218750.0,160.0,Built Up area: 160 (14.86 sq.m.),6,6,3+,3.0,North-West,Undefined,,160.0,,0,0,0,0,0,0,0
2026,house,international city by sobha phase 2,sector 109,10.0,27778.0,3600.0,Plot area 400(334.45 sq.m.),4,5,3+,2.0,East,New Property,,3600.0,,1,1,0,1,1,1,49
2039,house,independent,sector 43,13.5,50000.0,2700.0,Plot area 300(250.84 sq.m.),16,16,3+,4.0,North-West,Relatively New,,2700.0,,1,1,0,1,1,0,41
